time,flowcount
"22/10/2024, 23:34:22",91
"22/10/2024, 23:34:25",91
"22/10/2024, 23:34:28",91
"22/10/2024, 23:34:31",91
"22/10/2024, 23:34:34",91
"22/10/2024, 23:34:37",91
"22/10/2024, 23:34:40",91
"22/10/2024, 23:34:43",91
"22/10/2024, 23:34:46",91
"22/10/2024, 23:34:49",91
"22/10/2024, 23:34:52",91
"22/10/2024, 23:34:55",91
"22/10/2024, 23:34:58",91
"22/10/2024, 23:35:01",91
"22/10/2024, 23:35:22",91
"22/10/2024, 23:35:07",91
"22/10/2024, 23:35:10",91
"22/10/2024, 23:35:13",91
"22/10/2024, 23:35:10",91
"22/10/2024, 23:35:19",91
"22/10/2024, 23:35:22",91
"22/10/2024, 23:35:25",91
"22/10/2024, 23:35:28",91
"22/10/2024, 23:35:31",91
"22/10/2024, 23:35:34",91
"22/10/2024, 23:35:37",91
"22/10/2024, 23:35:40",91
"22/10/2024, 23:35:43",91
time,flowcount
"22/10/2024, 23:36:31",1
"22/10/2024, 23:36:34",313
"22/10/2024, 23:36:37",315
"22/10/2024, 23:36:40",315
"22/10/2024, 23:36:43",315
"22/10/2024, 23:36:46",315
"22/10/2024, 23:36:49",315
"22/10/2024, 23:36:52",315
"22/10/2024, 23:36:55",315
"22/10/2024, 23:36:58",315
"22/10/2024, 23:37:01",315
"22/10/2024, 23:37:22",315
"22/10/2024, 23:37:07",315
"22/10/2024, 23:37:10",315
"22/10/2024, 23:37:13",315
"22/10/2024, 23:37:10",315
"22/10/2024, 23:37:19",315
"22/10/2024, 23:37:22",315
"22/10/2024, 23:37:25",315
"22/10/2024, 23:37:28",315
"22/10/2024, 23:37:31",315
"22/10/2024, 23:37:34",315
"22/10/2024, 23:37:37",315
"22/10/2024, 23:37:40",315
"22/10/2024, 23:37:43",315
"22/10/2024, 23:37:46",315
"22/10/2024, 23:37:49",315
"22/10/2024, 23:37:52",315
"22/10/2024, 23:37:55",315
"22/10/2024, 23:37:58",315
"22/10/2024, 23:38:01",315
"22/10/2024, 23:38:22",315
"22/10/2024, 23:38:07",315
"22/10/2024, 23:38:10",315
"22/10/2024, 23:38:13",315
"22/10/2024, 23:38:10",315
"22/10/2024, 23:38:19",315
"22/10/2024, 23:38:22",315
"22/10/2024, 23:38:25",315
"22/10/2024, 23:38:28",315
"22/10/2024, 23:38:31",315
"22/10/2024, 23:38:34",315
"22/10/2024, 23:38:37",315
"22/10/2024, 23:38:40",315
