time,sfe,ssip,rfip,type
"22/10/2024, 12:10:34",90,10,1.0,0
"22/10/2024, 12:10:37",90,10,1.0,0
"22/10/2024, 12:10:40",90,10,1.0,0
"22/10/2024, 12:10:43",90,10,1.0,0
"22/10/2024, 12:10:46",90,10,1.0,0
"22/10/2024, 12:10:49",90,10,1.0,0
"22/10/2024, 12:10:52",90,10,1.0,0
"22/10/2024, 12:10:55",90,10,1.0,0
"22/10/2024, 12:10:58",90,10,1.0,0
"22/10/2024, 12:11:01",90,10,1.0,0
"22/10/2024, 12:11:22",90,10,1.0,0
"22/10/2024, 12:11:07",90,10,1.0,0
"22/10/2024, 12:11:10",90,10,1.0,0
"22/10/2024, 12:11:13",90,10,1.0,0
"22/10/2024, 12:11:10",90,10,1.0,0
"22/10/2024, 12:11:19",90,10,1.0,0
"22/10/2024, 12:11:22",90,10,1.0,0
"22/10/2024, 12:11:25",90,10,1.0,0
"22/10/2024, 12:11:28",90,10,1.0,0
"22/10/2024, 12:11:31",90,10,1.0,0
"22/10/2024, 12:11:34",90,10,1.0,0
"22/10/2024, 12:11:37",90,10,1.0,0
"22/10/2024, 12:11:40",90,10,1.0,0
"22/10/2024, 12:11:43",90,10,1.0,0
"22/10/2024, 12:11:46",90,10,1.0,0
"22/10/2024, 12:11:49",90,10,1.0,0
"22/10/2024, 12:11:52",90,10,1.0,0
"22/10/2024, 12:11:55",90,10,1.0,0
"22/10/2024, 12:11:58",90,10,1.0,0
"22/10/2024, 12:12:01",90,10,1.0,0
"22/10/2024, 12:12:22",90,10,1.0,0
"22/10/2024, 12:12:07",90,10,1.0,0
"22/10/2024, 12:12:10",90,10,1.0,0
"22/10/2024, 12:12:13",90,10,1.0,0
"22/10/2024, 12:12:10",90,10,1.0,0
"22/10/2024, 12:12:19",90,10,1.0,0
"22/10/2024, 12:12:22",90,10,1.0,0
"22/10/2024, 12:12:25",90,10,1.0,0
"22/10/2024, 12:12:28",90,10,1.0,0
"22/10/2024, 12:12:31",90,10,1.0,0
"22/10/2024, 12:12:34",90,10,1.0,0
"22/10/2024, 12:12:37",90,10,1.0,0
"22/10/2024, 12:12:40",90,10,1.0,0
"22/10/2024, 12:12:43",90,10,1.0,0
"22/10/2024, 12:12:46",90,10,1.0,0
"22/10/2024, 12:12:49",90,10,1.0,0
"22/10/2024, 12:12:52",90,10,1.0,0
"22/10/2024, 12:12:55",90,10,1.0,0
"22/10/2024, 12:12:58",90,10,1.0,0
"22/10/2024, 12:13:01",90,10,1.0,0
"22/10/2024, 12:13:22",90,10,1.0,0
"22/10/2024, 12:13:07",90,10,1.0,0
"22/10/2024, 12:13:10",90,10,1.0,0
"22/10/2024, 12:13:13",90,10,1.0,0
"22/10/2024, 12:13:10",90,10,1.0,0
"22/10/2024, 12:13:19",90,10,1.0,0
"22/10/2024, 12:13:22",90,10,1.0,0
"22/10/2024, 12:13:25",90,10,1.0,0
"22/10/2024, 12:13:28",90,10,1.0,0
"22/10/2024, 12:13:31",90,10,1.0,0
"22/10/2024, 12:13:34",90,10,1.0,0
"22/10/2024, 12:13:37",90,10,1.0,0
"22/10/2024, 12:13:40",90,10,1.0,0
"22/10/2024, 12:13:43",90,10,1.0,0
"22/10/2024, 12:13:46",90,10,1.0,0
"22/10/2024, 12:13:49",90,10,1.0,0
"22/10/2024, 12:13:52",90,10,1.0,0
"22/10/2024, 12:13:55",90,10,1.0,0
"22/10/2024, 12:13:58",90,10,1.0,0
"22/10/2024, 12:12:01",90,10,1.0,0
"22/10/2024, 12:12:22",90,10,1.0,0
"22/10/2024, 12:12:07",90,10,1.0,0
